age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income
41,3,9,2,0,0,4,1,0,0,48,
30,3,9,2,6,0,4,1,5013,0,40,
30,3,13,2,11,0,4,1,2407,0,40,
32,8,4,3,14,1,4,1,0,0,40,
48,3,9,2,13,0,4,1,0,0,40,
42,3,16,2,9,0,4,1,0,0,45,
29,3,10,0,12,1,4,1,0,0,58,
36,3,9,2,2,0,4,1,0,0,40,
28,3,10,0,0,1,4,0,0,0,40,
53,3,9,2,0,5,4,0,0,0,40,
49,4,10,2,3,0,4,1,0,0,50,
25,8,10,4,14,3,4,1,0,0,40,
19,3,10,4,9,3,4,1,0,0,32,
31,3,13,5,11,3,2,0,0,0,40,
29,5,13,2,11,0,4,1,0,0,70,
23,3,10,4,6,1,4,1,0,0,40,
79,3,10,2,9,2,4,1,0,0,20,
27,3,9,4,7,3,4,1,0,0,40,
40,3,12,2,0,0,4,1,0,0,40,
67,8,6,2,14,0,4,1,0,0,2,
18,3,7,4,7,3,4,0,0,0,22,
31,1,4,2,4,0,4,1,0,0,40,
18,3,9,4,11,1,4,1,0,0,30,
52,3,13,2,7,0,4,1,0,0,40,
46,3,9,2,7,5,4,0,0,0,40,
59,3,9,2,11,0,4,1,0,0,48,
44,3,9,0,2,1,4,0,14344,0,40,
53,3,9,0,11,3,4,0,0,0,35,
49,1,9,2,10,0,4,1,0,0,40,
33,3,14,2,9,0,4,1,0,0,50,
30,3,5,4,11,1,4,1,0,0,40,
43,0,16,4,9,1,4,0,0,0,50,
57,3,11,2,9,0,4,1,0,0,40,
37,3,10,0,2,4,4,0,0,0,40,
28,3,10,0,6,4,2,0,0,0,25,
30,3,9,2,11,5,1,0,0,1573,35,
34,1,13,2,10,0,4,1,0,0,40,
29,1,10,4,5,1,4,1,0,0,50,
48,5,16,2,9,0,4,1,0,1902,60,
37,3,10,2,11,0,4,1,0,0,48,
48,3,12,0,3,4,4,0,0,0,40,
32,0,9,4,7,3,2,1,0,0,40,
76,3,14,2,3,0,4,1,0,0,40,
44,3,13,2,3,0,4,1,15024,0,60,
47,5,14,4,9,1,4,0,0,0,50,
20,3,10,4,12,3,4,0,0,0,40,
29,3,9,4,2,1,4,1,0,0,40,
32,4,9,2,2,0,4,1,7688,0,40,
17,8,6,4,14,3,4,0,34095,0,32,
30,3,7,4,5,3,4,1,0,0,40,
31,1,9,4,0,1,4,0,0,0,40,
42,3,9,2,5,0,4,1,0,0,40,
24,3,13,4,11,2,4,1,0,0,40,
38,3,15,2,9,0,4,1,0,0,40,
56,5,9,2,7,0,4,1,0,1887,50,
28,3,10,2,11,5,4,0,4064,0,25,
36,3,9,4,6,3,4,0,0,0,40,
53,3,5,2,5,0,4,1,0,0,50,
56,4,10,2,11,0,4,1,0,0,50,
49,1,11,2,2,0,2,1,0,0,40,
55,3,10,2,11,0,4,1,0,0,56,
22,3,9,4,2,1,4,1,0,0,41,
21,3,10,4,7,3,4,0,0,0,40,
40,3,13,2,3,0,4,1,0,0,60,
30,3,13,4,3,3,2,1,0,0,40,
29,6,13,2,9,0,4,1,0,0,50,
19,3,10,4,7,3,2,1,0,0,35,
47,3,13,2,3,5,4,0,0,0,40,
20,3,10,4,0,3,4,0,0,1719,28,
31,3,12,2,0,0,4,1,0,0,40,
35,8,9,2,14,0,4,1,0,0,40,
39,3,10,0,2,1,4,1,0,0,40,
28,3,12,4,11,1,4,0,0,0,60,
24,3,9,4,7,1,4,0,0,1762,40,
38,5,9,2,2,0,4,1,4386,0,35,
37,3,13,2,11,0,4,1,0,0,50,
46,3,12,0,12,1,2,0,0,0,36,
38,0,14,2,9,0,4,1,0,0,40,
43,5,9,2,2,0,4,1,0,0,60,
27,3,11,2,0,5,4,0,0,0,35,
20,3,10,4,11,3,4,1,0,0,20,
49,3,10,2,2,0,1,1,0,0,40,
61,4,9,2,2,0,4,1,0,0,40,
27,3,10,4,11,3,4,0,0,0,40,
19,3,10,4,7,3,4,1,0,0,30,
45,3,11,4,9,1,4,0,0,1564,40,
70,3,10,4,12,2,4,1,0,0,40,
31,3,9,4,13,4,2,0,0,0,30,
22,3,10,2,7,0,4,1,0,0,24,
36,3,9,6,7,4,4,0,0,0,24,
64,3,7,2,2,0,4,1,0,2179,40,
43,8,10,0,14,1,4,0,0,0,40,
47,1,10,0,0,4,4,0,0,0,38,
34,3,9,4,0,1,4,0,0,0,40,
33,3,13,4,3,2,1,0,0,0,40,
21,3,9,4,2,3,4,1,0,0,35,
52,8,9,0,14,1,4,1,0,0,45,
48,3,9,2,2,0,4,1,0,0,46,
23,3,13,4,5,1,4,1,0,0,40,
71,5,10,5,11,4,2,1,0,1816,2,
29,3,9,0,2,1,4,1,0,0,60,
42,3,13,5,7,2,2,1,0,0,50,
68,8,2,0,14,1,4,0,0,0,20,
25,3,9,4,7,4,4,0,0,0,40,
44,4,14,0,3,4,1,0,0,0,40,
28,3,9,4,3,1,1,0,0,0,40,
45,5,14,2,11,0,4,1,0,0,40,
36,3,10,0,7,4,4,0,0,0,40,
39,0,12,4,3,1,4,1,0,0,42,
46,6,14,6,10,4,4,1,0,0,40,
18,3,7,4,5,3,4,1,0,0,16,
66,1,11,6,9,1,4,0,0,0,20,
27,3,9,4,7,1,4,1,0,1980,40,
28,6,9,2,10,0,4,1,0,0,40,
51,3,10,2,11,0,4,1,0,1977,40,
27,3,13,4,2,1,4,1,0,0,50,
28,6,13,2,9,0,4,1,0,0,40,
27,3,9,3,11,4,4,0,0,0,25,
21,3,9,4,2,3,2,1,0,0,40,
34,3,9,4,5,1,2,1,0,0,40,
18,3,9,4,7,3,4,1,0,0,12,
33,3,13,2,9,0,4,1,0,0,65,
44,1,10,2,3,0,2,1,0,0,38,
43,3,10,0,0,1,4,0,0,0,40,
30,3,10,4,2,1,2,1,0,0,45,
40,3,4,2,6,0,4,1,0,0,40,
37,0,10,2,0,0,4,1,0,0,42,
34,3,9,2,0,0,2,1,0,0,40,
41,5,13,0,3,1,4,0,0,0,40,
53,8,13,0,14,1,4,0,0,0,50,
31,3,14,2,9,5,4,0,0,0,50,
58,6,16,2,9,0,4,1,0,0,1,
38,3,10,0,6,1,2,0,0,0,28,
24,3,10,2,6,0,4,1,0,0,40,
41,1,13,2,2,0,2,1,0,0,40,
47,3,10,2,12,0,4,1,0,0,45,
41,0,13,2,12,0,4,1,0,0,24,
23,3,3,2,13,2,4,1,0,0,40,
36,3,10,0,2,1,4,1,0,0,40,
40,0,14,4,3,1,4,0,14084,0,55,
35,3,14,2,9,2,4,1,7298,0,40,
24,5,9,4,11,1,4,1,0,0,40,
26,3,14,4,9,1,4,0,0,1876,40,
19,8,9,4,14,3,4,1,0,0,40,
51,3,13,2,3,0,4,1,0,0,50,
42,1,10,4,9,1,4,0,0,1340,40,
37,6,9,0,0,4,4,0,0,0,35,
18,3,7,4,11,3,4,0,0,0,40,
36,3,13,2,7,0,2,1,7298,0,36,
35,3,9,0,2,1,4,1,0,0,60,
58,4,9,2,11,5,4,0,15024,0,35,
17,3,7,4,11,3,4,0,0,0,12,
44,1,9,2,13,0,2,1,0,0,40,
37,3,9,2,2,0,4,1,0,0,40,
35,3,10,4,11,1,0,0,0,0,40,
60,3,9,2,2,0,1,1,0,0,40,
54,4,4,2,6,0,4,1,0,0,40,
37,3,13,4,3,1,2,1,0,0,60,
50,3,12,0,11,1,4,0,0,0,40,
38,3,13,2,11,0,4,1,0,0,50,
45,3,13,2,9,0,4,1,0,0,55,
25,3,6,4,2,1,4,1,0,0,40,
31,3,10,2,5,0,4,1,0,0,40,
64,8,2,0,14,1,4,1,0,0,40,
90,3,9,4,7,1,2,1,0,2206,40,
54,3,9,2,0,0,2,1,0,0,20,
53,1,1,4,6,1,4,0,0,0,35,
18,3,9,4,11,3,4,0,0,0,40,
60,8,6,0,14,1,0,0,0,0,10,
66,5,9,2,4,0,4,1,1409,0,50,
75,3,11,6,0,1,4,0,0,0,20,
65,3,9,0,0,1,4,0,0,0,40,
35,3,7,5,13,1,2,1,3674,0,40,
41,3,9,0,11,4,2,0,0,0,38,
25,3,10,4,0,1,4,1,0,0,42,
33,3,10,0,2,2,3,0,0,0,40,
28,3,15,4,9,1,4,1,0,0,55,
59,6,9,2,7,0,4,1,0,0,40,
40,6,10,4,0,1,4,0,0,0,38,
41,3,13,2,3,0,4,1,0,0,50,
38,1,14,2,3,0,4,1,0,0,70,
23,3,9,4,13,3,4,1,0,0,40,
40,3,13,2,9,0,4,1,0,0,40,
41,5,9,2,7,5,4,0,0,0,20,
24,6,12,2,10,0,4,1,0,0,50,
20,8,10,4,14,3,4,1,0,0,20,
38,3,10,0,2,1,4,1,0,1741,40,
56,3,9,2,0,0,4,1,0,0,35,
58,3,9,2,0,0,4,1,0,0,45,
32,3,9,4,7,1,4,0,0,0,34,
40,3,12,2,12,0,4,1,0,1977,60,
45,3,9,2,0,0,4,1,0,0,40,
41,3,15,2,9,5,4,0,0,0,40,
42,3,13,2,0,5,2,0,0,0,40,
59,1,6,6,7,4,2,0,0,0,30,
19,1,10,4,0,3,4,1,0,0,40,
58,3,10,4,13,1,4,1,0,0,20,
42,5,9,2,4,0,1,1,0,0,40,
20,3,9,4,7,3,4,0,0,0,40,
32,3,9,5,7,1,4,0,0,0,30,
45,3,11,6,3,1,4,0,0,0,45,
50,3,4,0,2,1,4,1,0,0,40,
36,3,13,0,9,3,4,0,0,0,40,
45,3,9,2,11,0,4,1,0,0,60,
17,3,7,4,7,3,4,1,0,0,12,
59,3,10,2,11,0,4,1,4064,0,40,
26,3,7,2,2,0,4,1,0,0,40,
37,4,10,2,3,0,1,1,0,0,75,
19,8,10,4,14,3,4,1,0,0,24,
64,3,9,2,3,0,4,1,0,0,40,
33,3,13,4,9,1,4,0,0,0,45,
33,3,9,2,2,5,4,0,0,0,40,
61,3,9,2,3,0,4,1,0,0,40,
17,3,5,4,7,3,4,1,1055,0,24,
50,5,14,2,4,0,4,1,2407,0,98,
27,1,14,4,9,3,4,1,0,0,35,
30,3,9,0,9,3,4,0,0,0,40,
43,3,9,2,5,0,2,1,0,0,40,
44,3,10,2,2,0,4,1,7298,0,40,
35,3,10,4,3,1,4,0,0,0,40,
25,3,10,4,12,3,4,0,0,0,40,
24,3,10,2,6,5,4,0,7298,0,48,
22,3,13,4,9,1,4,0,0,0,15,
42,1,10,2,2,0,4,1,5178,0,40,
34,3,12,0,11,4,2,0,0,0,45,
60,3,13,0,9,1,4,0,0,0,42,
21,3,9,4,5,3,4,1,0,0,40,
57,0,14,2,11,0,4,1,15024,0,40,
41,3,15,2,9,0,4,1,0,0,60,
50,3,10,0,7,1,4,1,0,0,45,
25,3,13,4,3,1,4,0,0,0,40,
50,3,4,2,2,0,4,1,0,0,40,
36,3,13,2,9,0,4,1,0,0,45,
31,3,9,0,9,1,4,0,0,0,40,
29,1,13,4,10,1,4,1,0,0,56,
21,3,10,4,11,3,4,1,0,0,45,
27,3,13,4,12,4,2,0,0,0,40,
65,3,9,2,13,0,4,1,0,0,16,
37,4,13,0,11,1,4,0,0,0,60,
39,8,14,2,14,5,1,0,3464,0,40,
24,3,9,4,2,3,4,1,0,0,40,
38,3,9,0,11,1,4,1,0,0,80,
48,3,13,2,0,0,4,1,7688,0,40,
21,3,10,4,7,1,1,0,0,0,25,
31,3,9,2,13,0,4,1,0,0,45,
55,3,9,2,11,0,4,1,4386,0,40,
24,3,10,2,0,5,1,0,0,0,40,
43,3,9,0,0,1,4,0,0,0,40,
26,3,12,4,12,1,4,1,0,0,45,
46,3,12,4,9,1,4,0,0,0,33,
35,3,12,2,0,0,4,1,0,0,40,
41,4,10,2,4,0,4,1,0,0,54,
26,3,13,4,11,1,4,1,0,0,40,
34,3,14,2,3,0,1,1,7298,0,35,
19,8,10,4,14,3,2,0,0,0,25,
36,5,13,0,9,1,2,0,0,0,40,
22,3,10,4,11,3,4,1,0,0,15,
24,3,10,4,6,1,4,1,0,0,40,
77,5,10,2,11,0,4,1,0,0,40,
22,3,3,2,6,2,4,0,0,0,40,
29,3,10,4,12,1,4,0,0,0,40,
62,3,9,6,7,1,4,0,0,0,24,
39,5,9,2,3,0,4,1,0,0,40,
43,3,10,2,2,0,4,1,0,1485,50,
35,3,9,0,13,1,4,1,0,0,45,
29,3,7,4,3,1,4,0,0,0,40,
76,5,14,2,2,0,4,1,0,0,10,
63,5,9,2,4,0,4,1,0,0,45,
23,8,11,4,14,3,2,0,0,0,15,
43,3,10,2,9,5,4,0,0,1887,50,
58,5,9,2,5,0,4,1,0,0,40,
66,3,9,4,13,1,4,1,2050,0,55,
41,3,10,4,2,1,2,1,0,0,45,
26,3,13,4,0,1,4,1,0,0,40,
47,3,11,4,7,1,4,1,0,0,40,
55,1,6,2,0,0,4,1,0,0,40,
53,3,9,2,13,0,4,1,0,0,40,
17,3,3,4,7,2,4,1,0,0,48,
30,3,9,4,2,2,4,1,0,0,40,
49,3,14,4,9,1,4,1,0,0,60,
19,3,9,4,11,4,2,1,0,0,30,
45,3,9,2,7,0,2,1,0,0,40,
26,3,12,4,11,1,4,1,0,0,40,
38,3,11,2,2,0,4,1,7298,0,40,
36,6,9,2,10,0,4,1,7298,0,40,
33,3,9,4,4,1,4,1,0,0,20,
22,6,10,4,10,3,2,0,0,0,40,
43,5,13,4,11,1,4,1,0,0,42,
67,8,7,2,14,0,4,1,0,0,8,
30,8,11,0,14,4,4,0,0,0,40,
56,3,12,3,7,1,4,1,0,0,25,
31,3,13,4,9,3,4,1,0,0,25,
33,3,13,2,3,0,4,1,0,0,40,
26,3,9,2,7,0,4,1,0,0,40,
33,3,13,2,3,0,4,1,0,0,40,
46,1,7,2,13,0,4,1,0,0,30,
59,8,13,2,14,0,4,1,0,0,40,
38,0,9,2,0,0,4,1,0,0,40,
65,3,7,6,7,4,3,1,0,0,40,
40,3,11,2,12,0,4,1,0,0,40,
42,3,9,2,0,5,4,0,0,0,35,
26,5,5,2,2,0,4,1,0,0,40,
36,3,6,2,7,5,4,0,0,0,24,
62,3,14,2,9,0,4,1,0,0,40,
43,3,13,2,13,0,4,1,0,0,45,
43,3,13,0,3,1,4,1,0,1564,45,
22,3,9,3,11,1,4,1,0,0,55,
28,3,9,2,2,0,4,1,0,0,40,
56,5,10,2,11,0,4,1,0,0,45,
22,3,12,4,11,1,4,0,0,0,15,
57,3,13,0,3,1,4,0,0,0,45,
39,3,9,0,11,4,4,0,0,0,40,
26,0,10,4,0,4,4,0,0,0,15,
17,3,7,4,7,3,4,1,0,0,10,
40,6,11,2,6,0,4,1,0,0,38,
45,3,9,2,6,0,2,1,0,0,40,
44,3,9,4,2,1,2,1,0,0,40,
20,1,10,4,0,3,4,0,0,0,10,
33,3,9,2,2,5,4,0,0,0,40,
23,3,10,4,11,1,4,1,0,0,40,
46,5,14,0,3,1,4,1,0,0,30,
38,3,9,2,11,0,4,1,0,0,50,
54,3,9,0,13,1,4,1,0,0,40,
46,3,3,0,2,1,4,0,0,2339,45,
25,3,10,2,2,0,4,1,0,0,40,
46,3,10,0,11,1,4,0,0,0,40,
36,1,10,2,13,5,4,0,0,0,40,
23,3,9,4,7,1,4,0,0,0,25,
29,3,9,5,6,1,4,1,0,0,40,
44,3,10,2,0,5,4,0,0,2415,6,
19,3,10,4,0,3,4,0,0,0,16,
19,3,9,4,7,2,4,0,0,0,40,
35,3,9,2,7,5,4,0,0,0,40,
27,3,13,4,2,1,4,1,0,0,50,
46,5,12,5,2,1,4,1,0,0,40,
34,6,13,2,3,0,4,1,7688,0,45,
34,3,9,4,7,1,4,0,0,0,35,
44,3,10,2,12,0,4,1,0,0,40,
45,3,10,0,5,4,4,0,0,0,40,
20,8,9,4,14,2,4,0,0,0,35,
25,3,13,2,3,0,4,1,0,0,55,
52,4,13,2,3,0,4,1,0,0,50,
20,3,10,4,5,3,4,1,0,0,40,
28,3,10,4,7,1,4,0,0,0,40,
50,6,13,2,10,0,4,1,0,0,40,
34,3,11,0,12,1,4,0,0,0,64,
28,3,4,2,5,0,3,1,0,2179,40,
41,3,14,2,3,0,4,1,0,1977,65,
28,3,9,2,0,0,4,1,0,0,40,
46,5,9,2,2,0,4,1,0,0,25,
28,8,10,2,14,5,4,0,0,1887,40,
32,3,10,2,3,0,4,1,0,0,50,
41,1,10,0,7,1,2,0,0,0,24,
24,3,9,4,5,4,2,0,0,0,40,
33,3,10,0,3,4,4,0,0,0,40,
46,3,16,2,3,0,4,1,15024,0,60,
31,6,10,2,6,0,4,1,0,0,40,
35,3,8,0,2,1,4,1,0,0,50,
52,3,2,2,6,0,4,1,0,0,40,
30,3,7,4,7,3,4,0,0,0,19,
34,1,7,5,6,1,2,1,0,0,40,
34,6,9,0,13,4,4,0,0,0,40,
20,3,10,2,11,0,4,1,0,0,30,
17,3,7,4,5,3,4,1,2176,0,18,
32,6,13,2,3,5,4,0,0,0,40,
29,3,9,0,4,1,4,1,0,0,40,
33,3,6,4,2,4,4,0,0,0,35,
25,3,9,2,13,0,4,1,0,0,60,
36,0,14,4,9,1,4,1,0,1408,40,
23,3,9,4,5,1,4,1,0,0,72,
63,4,9,2,3,0,4,1,0,0,40,
47,1,14,2,9,0,4,1,0,0,40,
80,8,9,6,14,1,4,1,0,0,24,
17,8,7,4,14,3,4,1,0,0,40,
40,5,13,3,9,1,4,0,2174,0,40,
30,3,12,2,7,5,4,0,0,0,25,
27,3,10,4,2,3,1,1,0,1980,40,
33,3,14,2,9,0,4,1,0,0,50,
34,1,9,4,4,1,2,1,594,0,60,
34,1,10,4,10,1,4,0,0,0,40,
23,3,10,2,0,0,4,1,0,0,40,
42,1,10,2,0,5,4,0,0,0,40,
29,3,13,4,9,1,4,1,0,0,40,
45,3,9,0,0,1,4,0,0,0,28,
24,0,9,4,1,3,4,1,0,0,40,
44,3,10,2,9,0,4,1,0,0,40,
27,3,5,4,2,2,4,1,0,0,40,
20,3,10,4,11,1,4,1,0,0,35,
44,3,9,6,3,4,2,0,0,0,40,
51,3,9,2,2,0,0,1,0,0,40,
20,3,9,2,6,0,4,1,0,0,40,
17,8,7,4,14,3,4,0,0,0,5,
19,3,9,4,6,3,2,0,0,0,40,
45,4,10,2,2,0,4,1,0,0,55,
60,3,9,2,2,0,4,1,0,0,40,
42,3,12,2,3,0,2,1,0,0,40,
44,5,9,2,11,5,4,0,0,0,40,
40,3,11,2,6,0,1,1,0,0,40,
30,3,9,2,3,5,4,0,0,0,40,
38,3,10,2,13,0,2,1,0,0,50,
23,3,9,2,13,0,4,1,0,0,60,
32,8,10,2,14,0,4,1,0,0,40,
44,3,12,4,4,3,4,1,0,0,40,
54,1,9,2,13,0,2,1,0,0,40,
32,3,13,2,9,0,4,1,0,0,50,
50,3,2,3,2,4,4,1,0,0,40,
24,3,13,4,12,1,4,0,0,0,20,
37,3,9,2,0,5,4,0,0,0,60,
52,3,9,0,13,4,4,1,0,0,40,
38,3,10,2,13,0,4,1,0,0,40,
49,3,14,2,3,0,4,1,0,1977,45,
30,3,13,2,12,5,4,0,0,0,16,
60,3,10,4,9,4,4,1,0,0,40,
22,8,10,4,14,3,4,1,0,0,40,
35,3,9,4,2,1,4,1,0,0,40,
30,3,9,4,13,1,4,1,0,0,60,
67,3,11,0,7,1,4,0,0,0,24,
46,3,13,4,2,1,4,0,0,0,40,
17,3,5,4,7,1,4,1,0,0,6,
22,3,10,4,5,3,4,1,0,0,30,
27,3,6,4,7,1,4,1,0,0,40,
23,3,9,4,7,4,4,0,0,0,35,
33,3,12,2,2,0,4,1,0,0,45,
43,5,10,2,2,0,4,1,0,0,20,
28,6,13,4,9,1,4,1,0,0,20,
41,3,9,3,2,4,4,0,0,0,40,
52,8,8,4,14,2,2,1,594,0,40,
25,3,10,3,0,3,2,0,0,0,20,
63,8,2,2,14,0,4,1,0,0,35,
59,1,9,2,13,0,4,1,0,0,45,
45,1,13,0,9,4,4,0,0,0,40,
38,3,13,2,11,0,4,1,15024,0,60,
40,3,9,4,7,1,4,0,0,0,35,
46,0,9,0,0,1,4,1,0,0,40,
35,3,12,4,3,1,4,0,0,0,60,
34,3,9,0,9,4,4,0,0,0,25,
33,3,13,4,2,3,4,1,0,0,20,
41,3,9,0,0,4,4,0,0,0,36,
20,3,10,4,6,3,4,1,0,0,40,
23,3,3,4,7,3,4,1,0,0,40,
26,3,10,4,9,1,4,0,0,0,35,
72,8,9,2,14,0,4,1,0,0,20,
23,1,9,4,4,1,4,1,0,0,40,
62,1,9,2,13,0,4,1,0,0,40,
52,3,10,2,0,0,4,1,0,0,40,
58,3,10,0,7,4,4,0,0,0,42,
25,3,13,4,11,1,4,0,0,0,40,
24,3,13,4,3,1,2,1,0,0,40,
19,3,10,4,10,3,4,1,0,0,8,
43,3,10,2,3,0,4,1,0,0,40,
47,1,9,5,0,4,2,0,0,0,40,
39,3,9,0,7,4,4,0,0,0,40,
49,3,11,3,5,4,4,1,0,1380,42,
53,8,3,6,14,4,2,0,0,0,30,
32,3,11,4,2,1,4,1,0,0,45,
34,3,10,2,9,0,4,1,0,0,50,
28,3,9,0,2,1,4,1,0,0,45,
57,8,11,6,14,4,4,0,0,0,38,
25,3,10,4,0,1,0,0,0,0,20,
20,8,10,4,14,3,4,1,0,0,24,
21,8,10,4,14,4,4,0,0,0,35,
34,3,13,2,9,0,4,1,0,0,50,
38,4,13,2,3,0,4,1,15024,0,80,
50,3,9,2,3,0,4,1,7688,0,50,
24,1,10,0,5,1,2,1,0,0,50,
37,1,10,2,12,0,4,1,0,0,45,
44,3,10,0,6,4,4,1,0,0,58,
28,3,10,2,11,5,4,0,0,0,40,
42,3,13,2,3,0,4,1,0,0,40,
74,3,10,0,0,1,4,0,0,0,9,
38,5,9,2,2,0,4,1,0,0,50,
44,5,14,2,9,0,4,1,0,0,40,
44,3,7,0,6,4,3,0,0,0,46,
26,3,9,4,6,1,4,1,0,0,40,
36,3,9,2,7,0,2,1,0,0,40,
41,3,12,2,3,5,4,0,0,0,50,
67,3,15,2,9,0,4,1,20051,0,48,
39,1,8,2,12,0,4,1,0,0,50,
57,3,2,6,8,1,2,0,0,0,30,
29,3,11,5,2,1,4,1,0,0,40,
31,4,13,4,4,1,4,0,0,0,45,
34,8,9,4,14,4,2,0,0,0,40,
44,3,10,2,13,0,4,1,0,0,40,
29,3,16,4,9,3,4,1,0,0,40,
30,3,10,4,5,4,4,0,0,0,40,
27,3,9,4,13,1,4,1,0,0,40,
27,3,10,2,11,0,4,1,0,0,50,
32,3,9,4,5,1,4,0,0,0,45,
58,3,6,2,7,5,4,0,0,0,8,
35,1,10,2,10,0,4,1,0,0,40,
21,3,9,4,5,3,4,1,0,0,36,
28,3,10,4,2,4,4,1,0,0,40,
46,5,10,0,3,1,4,1,0,0,50,
36,5,9,5,7,4,4,0,0,0,40,
72,3,7,6,0,4,4,0,0,0,40,
35,3,9,2,6,5,2,0,0,0,40,
33,0,11,0,2,4,2,0,0,0,40,
69,3,7,4,6,1,4,0,0,0,40,
35,3,9,2,6,0,4,1,0,0,40,
31,3,9,5,0,4,4,0,0,0,20,
34,3,9,2,12,5,4,0,0,0,32,
30,3,7,2,7,0,4,1,0,0,40,
28,3,13,4,13,1,4,1,0,0,55,
54,3,13,2,11,0,4,1,0,0,35,
47,3,10,2,9,0,4,1,0,0,50,
24,3,9,4,5,4,2,0,0,0,40,
52,5,13,2,9,0,4,1,0,0,60,
20,3,9,4,5,3,0,1,0,0,48,
43,4,14,2,3,0,4,1,5013,0,45,
45,3,4,5,7,4,4,0,0,0,40,
29,5,9,5,2,1,4,1,0,0,35,
47,3,14,0,3,4,4,1,0,0,42,
24,3,9,4,2,3,4,1,0,0,40,
51,3,9,2,9,0,4,1,0,0,40,
17,3,7,4,11,3,4,1,0,0,12,
37,3,11,2,2,0,4,1,0,1977,40,
27,3,16,4,9,1,4,0,0,0,70,
29,3,13,2,3,5,4,1,0,0,40,
18,8,8,4,14,3,4,1,0,0,25,
36,5,12,0,11,4,4,0,0,0,35,
58,1,13,4,9,1,4,0,0,0,40,
26,5,10,2,2,0,4,1,0,0,45,
65,8,10,2,14,0,4,1,0,0,30,
57,3,9,2,11,0,4,1,0,0,40,
59,3,9,2,2,0,4,1,0,0,40,
27,3,9,2,6,0,4,1,0,0,40,
31,5,13,4,12,1,4,1,0,0,40,
21,3,10,4,11,3,4,0,0,0,24,
29,3,10,4,0,1,4,1,0,0,60,
18,3,7,4,7,3,4,1,0,0,40,
52,3,6,2,2,0,4,1,0,1887,47,
57,4,13,0,9,1,4,1,0,0,80,
42,8,9,2,14,0,4,1,0,0,40,
55,8,9,2,14,5,1,0,0,0,40,
60,3,4,4,13,1,4,1,0,0,48,
31,3,13,2,9,0,4,1,7688,0,40,
23,3,13,4,0,3,4,0,0,0,40,
27,3,9,4,11,3,4,1,0,0,40,
23,8,10,4,14,4,0,0,0,0,25,
42,5,15,2,9,0,4,1,0,1902,50,
25,3,10,4,12,1,4,1,2174,0,40,
49,3,13,4,9,1,4,0,0,0,45,
32,3,13,4,12,1,4,1,0,0,40,
